Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Jiaming,2022-02-22 22:03:27,00:00:17,Autoplayed: user action: None; ,Season 2 Villain / Antagonist Clip: Space Force,HOOK,Safari MAC (Cadmium),00:00:17,00:00:17,US (United States)
Jiaming,2022-02-19 19:20:52,00:00:03,,Black Mirror: Season 4: Hang the DJ (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:00:03,00:00:03,US (United States)
Jiaming,2022-02-19 02:55:01,00:50:10,,Black Mirror: Season 4: Hang the DJ (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,00:50:34,Not latest view,US (United States)
Jiaming,2022-02-19 01:49:30,00:56:30,,Black Mirror: Season 4: Crocodile (Episode 3),,Netflix Chrome MAC (Cadmium) HTML 5,00:57:52,00:57:52,US (United States)
Jiaming,2022-02-19 01:48:24,00:00:05,Autoplayed: user action: None; ,Black Mirror: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,00:00:05,US (United States)
Jiaming,2022-02-19 01:48:13,00:00:05,Autoplayed: user action: None; ,Season 1 Genre Specific Moment Clip: Fishbowl Wives,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,00:00:05,00:00:05,US (United States)
Jiaming,2022-02-14 04:05:48,00:10:59,,Single’s Inferno: Season 1: Episode 6,,Chrome PC (Cadmium),00:42:50,00:42:50,US (United States)
Jiaming,2022-02-14 04:05:35,00:00:09,Autoplayed: user action: None; ,Season 1 Trailer: 기상청 사람들: Season 1,TRAILER,Chrome PC (Cadmium),00:00:09,00:00:09,US (United States)
Jiaming,2022-02-13 19:38:49,00:13:13,,Too Hot to Handle: Season 3: No Pleasure Island (Episode 1),,Chrome PC (Cadmium),00:17:03,00:17:03,US (United States)
Jiaming,2022-02-13 19:38:12,00:00:06,Autoplayed: user action: None; ,High Context Clip: The Tinder Swindler,HOOK,Chrome PC (Cadmium),00:00:06,00:00:06,US (United States)
Jiaming,2022-02-13 19:23:54,00:14:09,,Single’s Inferno: Season 1: Episode 6,,Chrome PC (Cadmium),00:31:51,Not latest view,US (United States)
Jiaming,2022-02-13 18:10:20,00:00:09,Autoplayed: user action: None; ,High Context Clip: The Tinder Swindler,HOOK,Chrome PC (Cadmium),00:00:09,Not latest view,US (United States)
